timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762437517301,37,get login page-0,302,Found,Login userflow 1-1,text,true,,5216,294,1,1,http://localhost:8080/login_page.php,37,0,0
1762437517338,37,get login page-1,302,Found,Login userflow 1-1,text,true,,626,289,1,1,http://localhost:8080/index.php,37,0,0
1762437517375,66,get login page-2,200,OK,Login userflow 1-1,text,true,,30205,296,1,1,http://localhost:8080/my_view_page.php,65,0,0
1762437517443,141,post login,200,OK,Login userflow 1-1,text,true,,36450,1012,1,1,http://localhost:8080/my_view_page.php,39,0,0
1762437517443,39,post login-0,302,Found,Login userflow 1-1,text,true,,5619,427,1,1,http://localhost:8080/login_password_page.php,39,0,0
1762437517482,36,post login-1,302,Found,Login userflow 1-1,text,true,,626,289,1,1,http://localhost:8080/index.php,36,0,0
1762437517518,66,post login-2,200,OK,Login userflow 1-1,text,true,,30205,296,1,1,http://localhost:8080/my_view_page.php,65,0,0
1762437517585,110,post password,200,OK,Login userflow 1-1,text,true,,14067,982,1,1,http://localhost:8080/account_page.php,38,0,0
1762437517585,38,post password-0,302,Found,Login userflow 1-1,text,true,,827,361,1,1,http://localhost:8080/login.php?return=index.php&username=administrator&password=root&secure_session=on,38,0,0
1762437517623,34,post password-1,302,Found,Login userflow 1-1,text,true,,626,325,1,1,http://localhost:8080/login_cookie_test.php?return=account_page.php,34,0,0
1762437517658,37,post password-2,200,OK,Login userflow 1-1,text,true,,12614,296,1,1,http://localhost:8080/account_page.php,36,0,0
1762437517697,142,get login page,200,OK,Login userflow 1-1,text,true,,42338,879,1,1,http://localhost:8080/my_view_page.php,36,0,0
1762437517697,36,get login page-0,302,Found,Login userflow 1-1,text,true,,5216,294,1,1,http://localhost:8080/login_page.php,36,0,0
1762437517734,33,get login page-1,302,Found,Login userflow 1-1,text,true,,626,289,1,1,http://localhost:8080/index.php,33,0,0
1762437517768,71,get login page-2,200,OK,Login userflow 1-1,text,true,,36496,296,1,1,http://localhost:8080/my_view_page.php,69,0,0
1762437517839,147,post login,200,OK,Login userflow 1-1,text,true,,42714,1003,1,1,http://localhost:8080/my_view_page.php,38,0,0
1762437517839,38,post login-0,302,Found,Login userflow 1-1,text,true,,5592,418,1,1,http://localhost:8080/login_password_page.php,38,0,0
1762437517878,34,post login-1,302,Found,Login userflow 1-1,text,true,,626,289,1,1,http://localhost:8080/index.php,34,0,0
1762437517913,73,post login-2,200,OK,Login userflow 1-1,text,true,,36496,296,1,1,http://localhost:8080/my_view_page.php,72,0,0
1762437517987,183,post password,200,OK,Login userflow 1-1,text,true,,38283,1259,1,1,http://localhost:8080/my_view_page.php,38,0,0
1762437517987,38,post password-0,302,Found,Login userflow 1-1,text,true,,820,356,1,1,http://localhost:8080/login.php?return=index.php&username=dev1&password=password&secure_session=on,38,0,0
1762437518026,34,post password-1,302,Found,Login userflow 1-1,text,true,,619,318,1,1,http://localhost:8080/login_cookie_test.php?return=index.php,34,0,0
1762437518060,38,post password-2,302,Found,Login userflow 1-1,text,true,,626,289,1,1,http://localhost:8080/index.php,38,0,0
1762437518098,72,post password-3,200,OK,Login userflow 1-1,text,true,,36218,296,1,1,http://localhost:8080/my_view_page.php,70,0,0
